
coo: 31.0420031_31.3590136;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2017-01-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.64;114.30;11.94;122.74;22.10;132.92;30.53;145.51;36.36;160.87;38.69;178.39;37.07;196.12;31.81;211.97;23.80;225.06;13.90;235.65;2.77;244.36;--;--;--;--;--;--;--;--;--;--;
2017-01-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.70;114.08;12.02;122.52;22.22;132.71;30.67;145.31;36.54;160.71;38.91;178.29;37.29;196.11;32.04;212.02;24.01;225.16;14.09;235.77;2.95;244.50;--;--;--;--;--;--;--;--;--;--;
2017-01-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.77;113.86;12.11;122.31;22.34;132.49;30.83;145.11;36.73;160.55;39.13;178.20;37.53;196.10;32.26;212.08;24.22;225.26;14.29;235.90;3.13;244.65;--;--;--;--;--;--;--;--;--;--;
2017-01-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.84;113.64;12.21;122.09;22.46;132.28;30.99;144.91;36.93;160.39;39.35;178.11;37.76;196.09;32.49;212.15;24.43;225.37;14.48;236.03;3.31;244.80;--;--;--;--;--;--;--;--;--;--;
2017-01-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.92;113.41;12.31;121.86;22.59;132.06;31.16;144.70;37.13;160.22;39.59;178.02;38.01;196.09;32.73;212.22;24.65;225.49;14.68;236.17;3.50;244.96;--;--;--;--;--;--;--;--;--;--;
2017-01-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.00;113.18;12.42;121.63;22.73;131.84;31.33;144.50;37.34;160.06;39.82;177.94;38.25;196.10;32.97;212.30;24.87;225.61;14.89;236.32;3.68;245.13;--;--;--;--;--;--;--;--;--;--;
2017-01-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.09;112.94;12.53;121.41;22.87;131.61;31.51;144.29;37.56;159.90;40.07;177.86;38.50;196.11;33.21;212.38;25.10;225.74;15.09;236.48;3.87;245.30;--;--;--;--;--;--;--;--;--;--;
2017-01-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.18;112.71;12.65;121.17;23.02;131.39;31.69;144.08;37.78;159.74;40.32;177.78;38.76;196.13;33.45;212.48;25.32;225.88;15.29;236.64;4.05;245.48;--;--;--;--;--;--;--;--;--;--;
2017-01-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.28;112.47;12.77;120.94;23.18;131.16;31.89;143.87;38.01;159.58;40.57;177.70;39.02;196.15;33.70;212.58;25.55;226.03;15.50;236.81;4.24;245.67;--;--;--;--;--;--;--;--;--;--;
2017-01-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.39;112.22;12.90;120.70;23.34;130.93;32.08;143.66;38.25;159.42;40.83;177.63;39.29;196.18;33.95;212.68;25.78;226.18;15.71;236.99;4.42;245.86;--;--;--;--;--;--;--;--;--;--;
2017-01-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.50;111.97;13.04;120.46;23.51;130.69;32.29;143.45;38.49;159.26;41.10;177.56;39.56;196.21;34.21;212.80;26.01;226.34;15.91;237.17;4.61;246.06;--;--;--;--;--;--;--;--;--;--;
2017-01-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.62;111.73;13.18;120.22;23.68;130.46;32.50;143.24;38.74;159.10;41.37;177.49;39.83;196.25;34.47;212.92;26.24;226.51;16.12;237.36;4.80;246.26;--;--;--;--;--;--;--;--;--;--;
2017-01-31;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.74;111.47;13.33;119.97;23.86;130.22;32.71;143.03;38.99;158.94;41.65;177.43;40.11;196.30;34.73;213.05;26.48;226.68;16.33;237.56;4.99;246.47;--;--;--;--;--;--;--;--;--;--;
2017-02-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.87;111.22;13.48;119.72;24.04;129.98;32.93;142.81;39.25;158.78;41.93;177.37;40.40;196.35;34.99;213.18;26.71;226.86;16.54;237.76;5.18;246.69;--;--;--;--;--;--;--;--;--;--;
2017-02-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.00;110.96;13.64;119.47;24.23;129.74;33.16;142.59;39.51;158.62;42.22;177.32;40.68;196.41;35.26;213.33;26.95;227.05;16.75;237.97;5.36;246.91;--;--;--;--;--;--;--;--;--;--;
2017-02-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.14;110.70;13.80;119.22;24.42;129.50;33.39;142.38;39.78;158.47;42.51;177.26;40.98;196.48;35.53;213.47;27.19;227.24;16.96;238.19;5.55;247.14;--;--;--;--;--;--;--;--;--;--;
2017-02-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.28;110.44;13.97;118.97;24.62;129.25;33.63;142.16;40.05;158.31;42.81;177.22;41.27;196.55;35.80;213.63;27.43;227.44;17.18;238.41;5.74;247.38;--;--;--;--;--;--;--;--;--;--;
2017-02-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.43;110.18;14.14;118.71;24.83;129.01;33.87;141.94;40.33;158.16;43.11;177.17;41.57;196.63;36.07;213.80;27.67;227.65;17.39;238.64;5.93;247.62;--;--;--;--;--;--;--;--;--;--;
2017-02-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.59;109.91;14.32;118.45;25.04;128.76;34.12;141.72;40.62;158.00;43.42;177.13;41.87;196.71;36.35;213.97;27.92;227.87;17.60;238.87;6.12;247.86;--;--;--;--;--;--;--;--;--;--;
2017-02-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.75;109.64;14.50;118.19;25.25;128.51;34.37;141.49;40.91;157.85;43.73;177.09;42.18;196.80;36.63;214.15;28.16;228.09;17.81;239.11;6.31;248.12;--;--;--;--;--;--;--;--;--;--;
2017-02-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.91;109.37;14.69;117.93;25.47;128.26;34.63;141.27;41.20;157.69;44.05;177.06;42.48;196.90;36.91;214.33;28.40;228.32;18.03;239.36;6.49;248.37;--;--;--;--;--;--;--;--;--;--;
2017-02-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.08;109.10;14.88;117.66;25.70;128.01;34.89;141.05;41.50;157.54;44.37;177.03;42.80;197.00;37.19;214.53;28.65;228.56;18.24;239.62;6.68;248.64;--;--;--;--;--;--;--;--;--;--;
