
coo: 31.0420031_31.3590136;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2018-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.53;117.50;11.46;125.97;21.16;136.21;29.01;148.76;34.20;163.79;35.97;180.54;33.98;197.22;28.59;212.11;20.61;224.51;10.82;234.63;-0.17;243.02;--;--;--;--;--;--;--;--;--;--;
2018-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.49;117.36;11.44;125.83;21.15;136.06;29.03;148.61;34.26;163.64;36.06;180.40;34.09;197.13;28.72;212.05;20.75;224.49;10.96;234.63;-0.03;243.04;--;--;--;--;--;--;--;--;--;--;
2018-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.45;117.23;11.42;125.69;21.16;135.91;29.06;148.45;34.32;163.48;36.15;180.27;34.21;197.03;28.86;212.00;20.89;224.47;11.10;234.63;0.11;243.06;--;--;--;--;--;--;--;--;--;--;
2018-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.42;117.08;11.40;125.54;21.17;135.75;29.10;148.28;34.39;163.33;36.26;180.14;34.34;196.94;29.00;211.96;21.04;224.45;11.25;234.64;0.25;243.08;--;--;--;--;--;--;--;--;--;--;
2018-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;116.94;11.40;125.39;21.18;135.59;29.14;148.12;34.47;163.17;36.37;180.02;34.47;196.86;29.15;211.92;21.19;224.45;11.40;234.66;0.40;243.12;--;--;--;--;--;--;--;--;--;--;
2018-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.38;116.78;11.39;125.23;21.20;135.43;29.19;147.95;34.56;163.01;36.48;179.89;34.61;196.78;29.30;211.88;21.34;224.45;11.56;234.68;0.55;243.16;--;--;--;--;--;--;--;--;--;--;
2018-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.36;116.62;11.40;125.06;21.23;135.26;29.25;147.78;34.65;162.86;36.61;179.76;34.76;196.70;29.46;211.85;21.50;224.45;11.71;234.71;0.71;243.21;--;--;--;--;--;--;--;--;--;--;
2018-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.35;116.46;11.41;124.90;21.27;135.09;29.32;147.61;34.75;162.70;36.74;179.64;34.92;196.63;29.62;211.83;21.67;224.46;11.88;234.75;0.86;243.26;--;--;--;--;--;--;--;--;--;--;
2018-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.35;116.29;11.43;124.73;21.31;134.91;29.39;147.43;34.86;162.54;36.88;179.52;35.08;196.56;29.79;211.81;21.84;224.48;12.04;234.80;1.02;243.33;--;--;--;--;--;--;--;--;--;--;
2018-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.35;116.12;11.45;124.55;21.36;134.73;29.47;147.26;34.97;162.38;37.02;179.40;35.24;196.50;29.97;211.80;22.01;224.51;12.21;234.85;1.18;243.39;--;--;--;--;--;--;--;--;--;--;
2018-01-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.36;115.94;11.48;124.37;21.41;134.55;29.56;147.08;35.09;162.21;37.18;179.28;35.42;196.44;30.15;211.79;22.19;224.54;12.38;234.91;1.35;243.47;--;--;--;--;--;--;--;--;--;--;
2018-01-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.37;115.76;11.51;124.19;21.47;134.36;29.65;146.89;35.22;162.05;37.34;179.16;35.59;196.38;30.33;211.79;22.37;224.58;12.55;234.97;1.51;243.55;--;--;--;--;--;--;--;--;--;--;
2018-01-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;115.57;11.55;124.00;21.54;134.17;29.75;146.71;35.35;161.89;37.50;179.05;35.78;196.33;30.52;211.79;22.56;224.63;12.73;235.04;1.68;243.64;--;--;--;--;--;--;--;--;--;--;
2018-01-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.42;115.38;11.60;123.81;21.61;133.98;29.86;146.52;35.50;161.73;37.68;178.94;35.97;196.28;30.72;211.81;22.75;224.68;12.91;235.12;1.85;243.74;--;--;--;--;--;--;--;--;--;--;
2018-01-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.45;115.18;11.65;123.61;21.69;133.78;29.97;146.33;35.65;161.57;37.86;178.83;36.17;196.24;30.92;211.82;22.94;224.74;13.09;235.21;2.02;243.85;--;--;--;--;--;--;--;--;--;--;
2018-01-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.48;114.98;11.71;123.41;21.78;133.59;30.09;146.14;35.80;161.40;38.04;178.72;36.37;196.21;31.12;211.85;23.14;224.80;13.28;235.30;2.20;243.96;--;--;--;--;--;--;--;--;--;--;
2018-01-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.53;114.78;11.77;123.21;21.87;133.38;30.22;145.95;35.97;161.24;38.24;178.62;36.58;196.17;31.33;211.88;23.34;224.88;13.47;235.40;2.37;244.07;--;--;--;--;--;--;--;--;--;--;
2018-01-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.57;114.57;11.84;123.00;21.97;133.18;30.35;145.75;36.14;161.08;38.44;178.51;36.79;196.15;31.54;211.92;23.54;224.96;13.66;235.50;2.55;244.20;--;--;--;--;--;--;--;--;--;--;
2018-01-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.63;114.35;11.92;122.79;22.08;132.97;30.49;145.56;36.31;160.91;38.64;178.42;37.01;196.13;31.76;211.96;23.74;225.04;13.85;235.62;2.73;244.33;--;--;--;--;--;--;--;--;--;--;
2018-01-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.69;114.14;12.00;122.58;22.19;132.76;30.64;145.36;36.50;160.75;38.85;178.32;37.24;196.11;31.98;212.01;23.95;225.14;14.04;235.74;2.90;244.47;--;--;--;--;--;--;--;--;--;--;
2018-01-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.75;113.92;12.09;122.36;22.31;132.55;30.79;145.16;36.69;160.59;39.07;178.22;37.47;196.10;32.21;212.07;24.17;225.24;14.24;235.86;3.09;244.61;--;--;--;--;--;--;--;--;--;--;
2018-01-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.82;113.69;12.18;122.14;22.43;132.33;30.95;144.96;36.88;160.43;39.30;178.13;37.71;196.09;32.44;212.13;24.38;225.35;14.44;236.00;3.27;244.76;--;--;--;--;--;--;--;--;--;--;
2018-01-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.90;113.47;12.28;121.92;22.56;132.11;31.12;144.75;37.08;160.26;39.53;178.04;37.95;196.09;32.67;212.20;24.60;225.46;14.64;236.14;3.45;244.92;--;--;--;--;--;--;--;--;--;--;
2018-01-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.98;113.24;12.39;121.69;22.70;131.89;31.29;144.55;37.29;160.10;39.77;177.96;38.19;196.10;32.91;212.28;24.82;225.58;14.84;236.29;3.63;245.09;--;--;--;--;--;--;--;--;--;--;
