
coo: 31.0420031_31.3590136;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2018-01-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.07;113.00;12.50;121.46;22.84;131.67;31.47;144.34;37.51;159.94;40.01;177.88;38.44;196.11;33.15;212.36;25.04;225.71;15.04;236.44;3.82;245.26;--;--;--;--;--;--;--;--;--;--;
2018-01-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.16;112.76;12.62;121.23;22.99;131.44;31.65;144.14;37.73;159.78;40.26;177.80;38.70;196.12;33.39;212.45;25.27;225.85;15.24;236.60;4.01;245.44;--;--;--;--;--;--;--;--;--;--;
2018-01-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.26;112.52;12.74;120.99;23.14;131.21;31.84;143.93;37.96;159.62;40.51;177.72;38.96;196.14;33.64;212.55;25.49;225.99;15.45;236.77;4.19;245.62;--;--;--;--;--;--;--;--;--;--;
2018-01-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.36;112.28;12.87;120.76;23.30;130.98;32.04;143.72;38.19;159.46;40.77;177.65;39.22;196.17;33.89;212.66;25.72;226.14;15.65;236.95;4.38;245.81;--;--;--;--;--;--;--;--;--;--;
2018-01-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.47;112.04;13.00;120.52;23.47;130.75;32.24;143.50;38.43;159.30;41.04;177.58;39.49;196.20;34.15;212.77;25.95;226.30;15.86;237.13;4.57;246.01;--;--;--;--;--;--;--;--;--;--;
2018-01-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.59;111.79;13.14;120.28;23.64;130.52;32.45;143.29;38.68;159.14;41.31;177.51;39.77;196.24;34.41;212.89;26.19;226.46;16.07;237.32;4.75;246.21;--;--;--;--;--;--;--;--;--;--;
2018-01-31;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.71;111.53;13.29;120.03;23.81;130.28;32.66;143.08;38.93;158.98;41.58;177.45;40.05;196.29;34.67;213.02;26.42;226.64;16.28;237.51;4.94;246.42;--;--;--;--;--;--;--;--;--;--;
2018-02-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.84;111.28;13.44;119.78;24.00;130.04;32.88;142.86;39.18;158.82;41.86;177.39;40.33;196.34;34.93;213.15;26.66;226.82;16.49;237.71;5.13;246.64;--;--;--;--;--;--;--;--;--;--;
2018-02-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.97;111.02;13.60;119.53;24.18;129.80;33.10;142.65;39.45;158.66;42.15;177.33;40.61;196.40;35.19;213.29;26.89;227.00;16.70;237.92;5.32;246.86;--;--;--;--;--;--;--;--;--;--;
2018-02-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.11;110.76;13.76;119.28;24.38;129.56;33.34;142.43;39.71;158.51;42.44;177.28;40.90;196.46;35.46;213.44;27.13;227.19;16.91;238.13;5.51;247.09;--;--;--;--;--;--;--;--;--;--;
2018-02-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.25;110.50;13.93;119.03;24.57;129.31;33.57;142.21;39.99;158.35;42.74;177.23;41.20;196.53;35.73;213.59;27.37;227.39;17.12;238.36;5.70;247.32;--;--;--;--;--;--;--;--;--;--;
2018-02-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.40;110.24;14.10;118.77;24.78;129.07;33.81;141.99;40.26;158.19;43.04;177.18;41.50;196.61;36.01;213.76;27.61;227.60;17.34;238.58;5.88;247.56;--;--;--;--;--;--;--;--;--;--;
2018-02-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.55;109.97;14.27;118.51;24.99;128.82;34.06;141.77;40.55;158.04;43.34;177.14;41.80;196.69;36.28;213.93;27.86;227.82;17.55;238.82;6.07;247.81;--;--;--;--;--;--;--;--;--;--;
2018-02-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.71;109.71;14.46;118.25;25.20;128.57;34.31;141.55;40.84;157.88;43.65;177.10;42.10;196.78;36.56;214.10;28.10;228.04;17.76;239.06;6.26;248.06;--;--;--;--;--;--;--;--;--;--;
2018-02-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.87;109.44;14.64;117.99;25.42;128.32;34.57;141.33;41.13;157.73;43.97;177.07;42.41;196.87;36.84;214.29;28.34;228.26;17.97;239.30;6.45;248.31;--;--;--;--;--;--;--;--;--;--;
2018-02-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.04;109.17;14.83;117.73;25.64;128.07;34.83;141.10;41.43;157.58;44.29;177.03;42.72;196.97;37.12;214.48;28.59;228.50;18.19;239.55;6.64;248.57;--;--;--;--;--;--;--;--;--;--;
2018-02-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.21;108.89;15.03;117.46;25.87;127.81;35.09;140.88;41.73;157.42;44.61;177.01;43.03;197.08;37.40;214.68;28.83;228.74;18.40;239.81;6.82;248.84;--;--;--;--;--;--;--;--;--;--;
2018-02-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.39;108.62;15.23;117.20;26.10;127.56;35.36;140.65;42.04;157.27;44.94;176.98;43.35;197.20;37.68;214.89;29.08;228.99;18.61;240.08;7.01;249.11;--;--;--;--;--;--;--;--;--;--;
2018-02-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.57;108.34;15.44;116.93;26.34;127.30;35.64;140.43;42.35;157.12;45.27;176.96;43.67;197.32;37.97;215.10;29.33;229.24;18.82;240.35;7.20;249.39;--;--;--;--;--;--;--;--;--;--;
2018-02-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.75;108.06;15.65;116.66;26.58;127.04;35.92;140.20;42.66;156.97;45.60;176.95;43.99;197.45;38.26;215.32;29.57;229.51;19.04;240.62;7.38;249.67;--;--;--;--;--;--;--;--;--;--;
2018-02-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.94;107.78;15.86;116.38;26.83;126.78;36.20;139.97;42.98;156.82;45.94;176.94;44.32;197.58;38.54;215.55;29.82;229.78;19.25;240.90;7.57;249.96;--;--;--;--;--;--;--;--;--;--;
2018-02-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.14;107.50;16.08;116.11;27.08;126.52;36.49;139.74;43.31;156.67;46.29;176.93;44.64;197.73;38.83;215.79;30.07;230.05;19.46;241.19;7.75;250.25;--;--;--;--;--;--;--;--;--;--;
2018-02-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.34;107.22;16.30;115.83;27.33;126.25;36.78;139.51;43.64;156.52;46.63;176.92;44.97;197.88;39.12;216.03;30.31;230.33;19.67;241.48;7.93;250.55;--;--;--;--;--;--;--;--;--;--;
2018-02-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.54;106.93;16.53;115.56;27.59;125.99;37.08;139.28;43.97;156.38;46.98;176.92;45.31;198.03;39.41;216.29;30.56;230.62;19.88;241.78;8.12;250.85;--;--;--;--;--;--;--;--;--;--;
2018-02-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.75;106.65;16.76;115.28;27.85;125.72;37.37;139.04;44.31;156.23;47.33;176.93;45.64;198.20;39.70;216.55;30.80;230.91;20.09;242.08;8.30;251.16;--;--;--;--;--;--;--;--;--;--;
2018-02-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.96;106.36;16.99;115.00;28.11;125.45;37.68;138.81;44.65;156.08;47.69;176.94;45.97;198.37;40.00;216.81;31.05;231.22;20.29;242.39;8.48;251.47;--;--;--;--;--;--;--;--;--;--;
2018-02-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.18;106.07;17.23;114.72;28.38;125.18;37.98;138.57;44.99;155.93;48.05;176.95;46.31;198.54;40.29;217.09;31.29;231.52;20.50;242.70;8.66;251.78;--;--;--;--;--;--;--;--;--;--;
2018-02-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.40;105.79;17.47;114.44;28.65;124.91;38.29;138.34;45.34;155.79;48.41;176.97;46.65;198.73;40.58;217.37;31.54;231.84;20.71;243.02;8.84;252.10;--;--;--;--;--;--;--;--;--;--;
2018-02-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.62;105.50;17.71;114.15;28.93;124.64;38.61;138.10;45.69;155.64;48.77;176.99;46.99;198.92;40.87;217.66;31.78;232.16;20.91;243.35;9.02;252.42;--;--;--;--;--;--;--;--;--;--;
2018-02-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.84;105.21;17.96;113.87;29.21;124.37;38.92;137.86;46.04;155.50;49.14;177.01;47.33;199.12;41.16;217.95;32.03;232.48;21.12;243.67;9.19;252.75;--;--;--;--;--;--;--;--;--;--;
2018-02-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.07;104.91;18.21;113.58;29.49;124.09;39.24;137.62;46.40;155.35;49.51;177.04;47.68;199.33;41.46;218.25;32.27;232.81;21.32;244.01;9.37;253.08;--;--;--;--;--;--;--;--;--;--;
2018-02-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.31;104.62;18.47;113.30;29.77;123.81;39.57;137.38;46.76;155.21;49.88;177.07;48.02;199.54;41.75;218.57;32.51;233.15;21.52;244.34;9.54;253.42;--;--;--;--;--;--;--;--;--;--;
2018-02-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.54;104.33;18.72;113.01;30.06;123.53;39.89;137.13;47.12;155.06;50.26;177.11;48.37;199.76;42.04;218.88;32.75;233.49;21.72;244.69;9.72;253.76;--;--;--;--;--;--;--;--;--;--;
2018-02-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.78;104.03;18.98;112.72;30.35;123.25;40.22;136.89;47.48;154.92;50.64;177.15;48.71;199.99;42.33;219.21;32.99;233.84;21.92;245.03;9.89;254.10;--;--;--;--;--;--;--;--;--;--;
2018-02-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.02;103.74;19.25;112.43;30.64;122.97;40.55;136.64;47.85;154.78;51.01;177.20;49.06;200.23;42.62;219.54;33.23;234.20;22.12;245.38;10.06;254.44;--;--;--;--;--;--;--;--;--;--;
2018-03-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.27;103.44;19.51;112.14;30.94;122.69;40.88;136.39;48.22;154.63;51.40;177.25;49.41;200.47;42.91;219.88;33.46;234.56;22.32;245.74;10.23;254.79;--;--;--;--;--;--;--;--;--;--;
2018-03-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.51;103.15;19.78;111.84;31.23;122.40;41.22;136.14;48.59;154.49;51.78;177.30;49.76;200.72;43.20;220.23;33.70;234.92;22.51;246.09;10.40;255.14;--;--;--;--;--;--;--;--;--;--;
2018-03-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.76;102.85;20.05;111.55;31.53;122.12;41.55;135.89;48.97;154.34;52.16;177.36;50.10;200.98;43.49;220.58;33.93;235.29;22.71;246.46;10.57;255.50;--;--;--;--;--;--;--;--;--;--;
2018-03-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;8.02;102.55;20.32;111.25;31.83;121.83;41.89;135.64;49.34;154.20;52.55;177.42;50.45;201.25;43.78;220.94;34.17;235.67;22.90;246.82;10.73;255.85;--;--;--;--;--;--;--;--;--;--;
2018-03-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;8.27;102.25;20.59;110.96;32.13;121.54;42.23;135.38;49.72;154.05;52.94;177.49;50.80;201.52;44.07;221.31;34.40;236.05;23.09;247.19;10.90;256.21;--;--;--;--;--;--;--;--;--;--;
2018-03-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;8.53;101.96;20.87;110.66;32.44;121.25;42.58;135.13;50.10;153.91;53.33;177.56;51.15;201.80;44.35;221.68;34.63;236.43;23.28;247.57;11.06;256.57;--;--;--;--;--;--;--;--;--;--;
2018-03-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;8.78;101.66;21.14;110.36;32.74;120.96;42.92;134.87;50.48;153.76;53.72;177.63;51.50;202.09;44.64;222.06;34.85;236.82;23.47;247.94;11.23;256.94;--;--;--;--;--;--;--;--;--;--;
2018-03-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;9.04;101.36;21.42;110.06;33.05;120.66;43.27;134.61;50.87;153.61;54.11;177.71;51.85;202.39;44.92;222.45;35.08;237.22;23.66;248.32;11.39;257.31;--;--;--;--;--;--;--;--;--;--;
2018-03-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;9.31;101.06;21.70;109.76;33.36;120.37;43.61;134.35;51.25;153.47;54.50;177.79;52.20;202.69;45.20;222.84;35.30;237.61;23.84;248.70;11.55;257.68;--;--;--;--;--;--;--;--;--;--;
2018-03-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;9.57;100.76;21.98;109.46;33.67;120.07;43.96;134.08;51.64;153.32;54.89;177.88;52.55;203.00;45.48;223.24;35.53;238.02;24.02;249.09;11.71;258.05;--;--;--;--;--;--;--;--;--;--;
2018-03-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;9.83;100.46;22.27;109.16;33.98;119.77;44.31;133.81;52.02;153.17;55.29;177.97;52.89;203.32;45.76;223.65;35.75;238.42;24.21;249.48;11.87;258.42;--;--;--;--;--;--;--;--;--;--;
2018-03-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.10;100.15;22.55;108.86;34.29;119.47;44.66;133.54;52.41;153.02;55.68;178.07;53.24;203.65;46.04;224.06;35.97;238.84;24.39;249.87;12.02;258.80;-0.71;266.74;--;--;--;--;--;--;--;--;
2018-03-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.37;99.85;22.83;108.55;34.60;119.16;45.01;133.27;52.80;152.87;56.08;178.17;53.59;203.99;46.31;224.48;36.18;239.25;24.56;250.26;12.18;259.17;-0.57;267.11;--;--;--;--;--;--;--;--;
2018-03-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.64;99.55;23.12;108.25;34.91;118.86;45.36;133.00;53.19;152.72;56.48;178.28;53.93;204.33;46.58;224.90;36.40;239.67;24.74;250.65;12.33;259.55;-0.42;267.49;--;--;--;--;--;--;--;--;
2018-03-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.91;99.25;23.40;107.94;35.23;118.55;45.71;132.72;53.58;152.56;56.87;178.38;54.28;204.68;46.85;225.33;36.61;240.09;24.92;251.05;12.49;259.93;-0.28;267.86;--;--;--;--;--;--;--;--;
2018-03-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;11.18;98.95;23.69;107.63;35.54;118.24;46.06;132.44;53.97;152.41;57.27;178.50;54.62;205.04;47.12;225.77;36.82;240.52;25.09;251.45;12.64;260.31;-0.13;268.23;--;--;--;--;--;--;--;--;
2018-03-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;11.45;98.64;23.97;107.32;35.85;117.93;46.41;132.16;54.36;152.25;57.67;178.61;54.96;205.40;47.39;226.21;37.03;240.95;25.26;251.85;12.79;260.69;0.01;268.61;--;--;--;--;--;--;--;--;
2018-03-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;11.72;98.34;24.26;107.01;36.16;117.62;46.76;131.87;54.75;152.09;58.06;178.73;55.30;205.78;47.66;226.66;37.24;241.38;25.43;252.26;12.94;261.08;0.15;268.99;--;--;--;--;--;--;--;--;
2018-03-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.83;90.19;11.99;98.04;24.55;106.70;36.48;117.31;47.11;131.58;55.15;151.93;58.46;178.86;55.64;206.16;47.92;227.11;37.44;241.82;25.60;252.66;13.09;261.46;0.29;269.36;--;--;--;--;--;--;--;--;
2018-03-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.57;89.89;12.26;97.73;24.83;106.39;36.79;116.99;47.46;131.29;55.54;151.77;58.86;178.99;55.98;206.55;48.18;227.57;37.65;242.25;25.77;253.07;13.23;261.84;0.43;269.74;--;--;--;--;--;--;--;--;
2018-03-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.30;89.59;12.53;97.43;25.12;106.08;37.10;116.67;47.81;131.00;55.93;151.60;59.25;179.12;56.31;206.94;48.44;228.03;37.85;242.69;25.93;253.47;13.38;262.23;0.57;270.12;--;--;--;--;--;--;--;--;
2018-03-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.03;89.29;12.80;97.13;25.40;105.77;37.41;116.35;48.16;130.70;56.32;151.44;59.65;179.26;56.65;207.35;48.69;228.50;38.05;243.14;26.09;253.88;13.52;262.61;0.71;270.49;--;--;--;--;--;--;--;--;
2018-03-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.24;88.99;13.07;96.82;25.69;105.45;37.72;116.03;48.51;130.40;56.71;151.27;60.04;179.40;56.98;207.76;48.95;228.98;38.24;243.58;26.26;254.29;13.67;263.00;0.85;270.87;--;--;--;--;--;--;--;--;
2018-03-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.50;88.69;13.34;96.52;25.97;105.14;38.03;115.70;48.86;130.10;57.10;151.09;60.44;179.55;57.31;208.18;49.20;229.45;38.44;244.03;26.42;254.70;13.81;263.38;0.99;271.25;--;--;--;--;--;--;--;--;
2018-03-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.77;88.39;13.61;96.21;26.25;104.82;38.34;115.38;49.20;129.79;57.49;150.92;60.83;179.70;57.64;208.60;49.45;229.93;38.63;244.48;26.57;255.11;13.95;263.77;1.13;271.62;--;--;--;--;--;--;--;--;
2018-03-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.04;88.10;13.88;95.91;26.54;104.51;38.64;115.05;49.55;129.48;57.88;150.74;61.22;179.85;57.97;209.04;49.69;230.42;38.82;244.93;26.73;255.53;14.09;264.16;1.26;272.00;--;--;--;--;--;--;--;--;
2018-03-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.31;87.80;14.15;95.61;26.82;104.19;38.95;114.72;49.89;129.16;58.26;150.56;61.62;180.01;58.29;209.48;49.94;230.91;39.00;245.38;26.89;255.94;14.23;264.54;1.40;272.37;--;--;--;--;--;--;--;--;
2018-03-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.57;87.50;14.42;95.30;27.10;103.87;39.25;114.39;50.23;128.84;58.65;150.37;62.01;180.17;58.61;209.92;50.18;231.41;39.19;245.84;27.04;256.35;14.37;264.93;1.54;272.75;--;--;--;--;--;--;--;--;
2018-03-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.84;87.21;14.69;95.00;27.38;103.55;39.55;114.05;50.57;128.52;59.03;150.18;62.40;180.33;58.93;210.38;50.41;231.90;39.37;246.29;27.19;256.76;14.51;265.31;1.68;273.12;--;--;--;--;--;--;--;--;
